# JPL Horizons reference snapshot.
# Source: NASA/JPL Horizons API, DE441, geocentric ecliptic J2000 vector tables.
# Coverage: selected bodies sampled at 1500-01-01 for Sun, Moon, Mercury, Venus; selected bodies sampled at 1600-01-11 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Uranus, Neptune; major bodies sampled at 1749-12-31 for Sun through Neptune; selected bodies sampled at 1750-01-01 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Saturn, Uranus, Neptune; inner planets sampled across 1800-2500; major bodies sampled at 1800-01-03 for Sun through Pluto; selected bodies sampled at 1900-01-01 for Sun, Moon, Mercury, Venus; major bodies sampled at 2400000, 2451545, 2451910.5, 2451911.5, 2451912.5, 2451913.5, 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451916.0, 2451916.5, 2451917.0, 2451917.5, 2451918.5, 2451919.5, 2451920.5, 2453000.5, and 2500000; major bodies sampled at 2451915.5 for Sun through Pluto; Mars sampled at 2600000 and 2634167 for outer boundary coverage; major bodies sampled at 2451913.5 through 2451917.5 for additional boundary coverage; selected asteroids sampled at J2000, 2378498.5, 2451910.5 through 2451919.5, with 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451918.5, and 2451919.5 boundary coverage, 1800-01-03, 2003-12-27, 2132-08-31, 2500-01-01, and 2634167.
# Columns: epoch_jd,body,x_km,y_km,z_km
2451916.000000000,Mars,-2.042349762953941E+08,-1.603515484924908E+08,5.630201884428911E+06
2451916.000000000,Jupiter,3.040198013906513E+08,5.665916096146280E+08,-8.824211703960568E+06
2451916.000000000,Saturn,7.379151489673344E+08,1.029468320601435E+09,-4.808002678634059E+07
2451916.000000000,Uranus,2.342974856852768E+09,-2.042454387083667E+09,-3.690501855710185E+07
2451916.000000000,Neptune,2.697327436980950E+09,-3.778651933089840E+09,1.369884087816000E+07
2451916.000000000,Pluto,-1.267144847601068E+09,-4.406149618061848E+09,8.350552583194032E+08
2451916.500000000,Sun,4.237831891653352E+07,-1.408638683110090E+08,8.521907524764538E+01
2451916.500000000,Moon,1.417807583650885E+05,3.384270794769476E+05,-2.107894129226076E+04
2451916.500000000,Mercury,8.393725355535668E+07,-1.876501478890234E+08,-7.636308848476529E+06
2451916.500000000,Venus,1.020499682639794E+08,-5.085073598685458E+07,-2.213901472906485E+06
2451916.500000000,Mars,-2.028579496891952E+08,-1.609353964778099E+08,5.607242518729612E+06
2451916.500000000,Jupiter,3.047373455466962E+08,5.671850764890364E+08,-8.813080233196378E+06
2451916.500000000,Saturn,7.387883433669105E+08,1.030051283099298E+09,-4.806854064070648E+07
2451916.500000000,Uranus,2.344413918992559E+09,-2.041870786375907E+09,-3.690656580437207E+07
2451916.500000000,Neptune,2.698769337374051E+09,-3.778141631588514E+09,1.369170130326605E+07
2451916.500000000,Pluto,-1.265661104076396E+09,-4.405886665100353E+09,8.349993872854607E+08
2451916.500000000,Ceres,-1.036358182819792E+08,-5.280477832591709E+08,1.495505713557959E+07
2451916.500000000,Pallas,-2.525741392243392E+08,-3.597380544966601E+08,1.756114635232967E+08
2451916.500000000,Juno,3.701218929069498E+08,-1.433867757128652E+08,-1.231658756557697E+07
2451916.500000000,Vesta,3.808880262428728E+08,-2.278533586912022E+08,-3.849631930494122E+07
