# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_nod_aps, iflag=772 (SEFLG_MOSEPH|SEFLG_SPEED|SEFLG_NOGDEFL); method=4 rows only use iflag=770 (SEFLG_SWIEPH|SEFLG_SPEED|SEFLG_NOGDEFL, DE431-derived sepl_18.se1/semo_18.se1, SHA-256 pinned in the generator) because Moshier cannot produce barycentric positions.
# Nodes/apsides for the classical planets (SE 0-9; mean set drops Pluto). method bit flags: 1=mean, 2=osculating, 4=osculating-barycentric; fopoint=1 means SE_NODBIT_FOPOINT was OR'd onto method (aphelion point replaced by the orbit's focal point). Small bodies (SE 15-20) and fictitious bodies (SE 40-58) are OUT OF SCOPE (offline backend chain cannot serve small bodies; this SE build's swe_nod_aps does not implement fictitious bodies). Times are TT (Terrestrial Time) Julian days.
label,se_body,method,fopoint,jd_tt,asc_lon,asc_lat,asc_dist,asc_dlon,asc_dlat,asc_ddist,dsc_lon,dsc_lat,dsc_dist,dsc_dlon,dsc_dlat,dsc_ddist,peri_lon,peri_lat,peri_dist,peri_dlon,peri_dlat,peri_ddist,apo_lon,apo_lat,apo_dist,apo_dlon,apo_dlat,apo_ddist
Saturn,6,1,0,2488021.500000000,120.378689587,-0.000006860,8.644644984,-0.043573267,-0.000014250,-0.016091822,289.755344589,-0.000005618,10.540162114,0.051358211,0.000013298,0.014604713,99.696507958,-0.899431849,8.332897817,-0.080288460,-0.900806573,-0.012561881,271.448664266,0.773254067,10.825590838,0.071088286,0.772496837,0.010760092
Uranus,7,1,0,2415100.500000000,70.712543477,0.000002404,19.623926938,0.016541678,-0.000007407,0.016302733,256.395752421,0.000002521,18.779237839,-0.012240420,0.000011508,-0.016782352,170.995348014,0.808218466,17.345706715,-0.056377278,0.808089199,0.002848440,351.964288897,-0.729184360,21.092587254,0.046554498,-0.729267081,-0.002531997
Uranus,7,1,0,2433282.500000000,72.397320661,-0.000001439,18.433066245,-0.048147764,-0.000007399,0.008090926,254.990357229,-0.000001341,19.933084820,0.045617677,0.000009996,-0.007375978,175.236995975,0.775879220,18.053048537,-0.013492275,0.776607171,-0.016857462,349.632400092,-0.752352581,20.429621905,0.016630679,-0.751745024,0.016346369
Uranus,7,1,0,2441683.500000000,72.508256127,-0.000008630,18.438921392,-0.048035327,-0.000006670,0.008175015,255.129426987,-0.000007996,19.927561196,0.045557704,0.000009467,-0.007453665,175.583332138,0.775647150,18.051778175,-0.013558361,0.776382754,-0.016863262,349.981072766,-0.752033444,20.430853455,0.016682486,-0.751419607,0.016350480
Uranus,7,1,0,2451545.000000000,72.650001600,0.000012380,18.441323717,-0.048136902,-0.000005746,0.008118418,255.252947235,0.000011460,19.925159300,0.045600583,0.000005255,-0.007400946,175.982561294,0.774997427,18.059543887,-0.013141069,0.775710611,-0.016897396,350.366150622,-0.751953364,20.423323143,0.016299749,-0.751358739,0.016396243
Uranus,7,1,0,2459000.500000000,73.898059983,0.000009738,20.331645337,0.047653039,0.000006347,0.001334048,254.342822249,0.000010985,18.025257218,-0.053725100,-0.000006114,-0.001458144,170.183931174,0.772182984,18.122711482,-0.010566459,0.771462508,0.016704372,356.080362471,-0.753703202,20.364985783,0.014213294,-0.754314962,-0.016288263
Uranus,7,1,0,2466154.500000000,72.878530949,0.000003686,18.443983152,-0.048253719,0.000012443,0.008001582,255.442680306,0.000003401,19.922419052,0.045745112,-0.000009975,-0.007292783,176.587140778,0.773884866,18.073175729,-0.012352391,0.774610189,-0.016947632,350.947350576,-0.751928754,20.410081873,0.015708165,-0.751324643,0.016466806
Uranus,7,1,0,2477476.500000000,73.079618589,0.000009125,18.443039511,-0.048601791,0.000000606,0.007811456,255.578907321,0.000008441,19.923051289,0.046007237,0.000000632,-0.007115958,177.065994110,0.772750081,18.090060791,-0.011413847,0.773470173,-0.017030950,351.397914330,-0.752110192,20.393671797,0.014938470,-0.751505244,0.016575608
Uranus,7,1,0,2488021.500000000,75.716407733,-0.000003190,18.422252611,-0.049667062,-0.000015262,-0.006831175,253.429417272,-0.000002943,19.942368834,0.046736923,0.000013993,0.006193231,177.019859298,0.740015945,18.880394499,0.030366302,0.740580710,-0.014427610,352.053384913,-0.782445315,19.592698207,-0.025385978,-0.781834926,0.015230560
Neptune,8,1,0,2415100.500000000,129.202011505,0.000001531,29.452136865,-0.021273910,-0.000006381,0.013334821,312.111601220,0.000001455,30.783338323,0.021659183,0.000008486,-0.012758647,45.363732321,-1.728801541,30.543119911,0.021461680,-1.728122734,0.011670328,228.091330525,1.810199791,29.694615861,-0.020770237,1.810977341,-0.012197227
