# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc, iflag=1588 (SEFLG_MOSEPH|SEFLG_J2000|SEFLG_TRUEPOS|SEFLG_NOABERR|SEFLG_NOGDEFL).
# Fictitious (hypothetical) bodies, SE numbers 40..=58 (SE_FICT_OFFSET_1 + 1..=19). Elements read from the committed data/seorbel.txt (SE's built-in fallback only covers 40-54; 55-58 require this file). Geocentric J2000-ecliptic lon/lat (degrees) and distance (AU), GEOMETRIC (no light-time, no aberration, no gravitational deflection) — matches FictitiousBackend::position's geocentric-J2000 boundary. Times are TT (Terrestrial Time) Julian days, evenly sampled per body across the 1900-2100 CE window (JD 2415020.5..=2488069.5).
label,se_body,jd_tt,lon_deg,lat_deg,dist_au
Transpluto,48,2440209.810344827,134.454198080,0.004702941,88.097307806
Transpluto,48,2442728.741379310,137.240686088,0.004438663,89.845853903
Transpluto,48,2445247.672413793,139.662190552,0.004169671,91.566043942
Transpluto,48,2447766.603448276,141.803899089,0.003911552,92.954500773
Transpluto,48,2450285.534482758,143.837395483,0.003656434,93.852651447
Transpluto,48,2452804.465517242,145.944331583,0.003406375,94.295633261
Transpluto,48,2455323.396551724,148.252126142,0.003163378,94.488005749
Transpluto,48,2457842.327586207,150.786455467,0.002920029,94.726142171
Transpluto,48,2460361.258620690,153.451502860,0.002683538,95.277094763
Transpluto,48,2462880.189655173,156.064345880,0.002431438,96.245432072
Transpluto,48,2465399.120689655,158.448352658,0.002167870,97.504709505
Transpluto,48,2467918.051724138,160.529950201,0.001880749,98.759007082
Transpluto,48,2470436.982758621,162.369516893,0.001580901,99.701349416
Transpluto,48,2472955.913793103,164.117502743,0.001277244,100.158854581
Transpluto,48,2475474.844827586,165.942812894,0.000980793,100.151667057
Transpluto,48,2477993.775862069,167.970228413,0.000718433,99.870537251
Transpluto,48,2480512.706896552,170.235213347,0.000487389,99.600619228
Transpluto,48,2483031.637931034,172.663736715,0.000291794,99.609705466
Transpluto,48,2485550.568965517,175.094026079,0.000102941,100.025573030
Transpluto,48,2488069.500000000,177.351904731,-0.000101997,100.757642031
Nibiru,49,2415020.500000000,54.559098025,-20.604804335,458.172986399
Nibiru,49,2417539.431034483,54.598444970,-20.615303521,458.219085264
Nibiru,49,2420058.362068966,54.646103906,-20.607539920,458.644460770
Nibiru,49,2422577.293103448,54.666692824,-20.584014121,459.397475636
Nibiru,49,2425096.224137931,54.637841428,-20.553551513,460.291958063
Nibiru,49,2427615.155172414,54.557561633,-20.527143501,461.093265908
Nibiru,49,2430134.086206897,54.443213592,-20.513884718,461.604593912
Nibiru,49,2432653.017241379,54.324937572,-20.517945565,461.734550143
Nibiru,49,2435171.948275862,54.235466770,-20.536948176,461.534103291
Nibiru,49,2437690.879310345,54.197561861,-20.562225761,461.190461258
Nibiru,49,2440209.810344827,54.212806793,-20.581905521,460.958720261
Nibiru,49,2442728.741379310,54.259154807,-20.586266399,461.046483952
Nibiru,49,2445247.672413793,54.301069759,-20.572463551,461.514920850
Nibiru,49,2447766.603448276,54.306416748,-20.545496936,462.258402199
Nibiru,49,2450285.534482758,54.259554562,-20.515355390,463.063698373
Nibiru,49,2452804.465517242,54.165525813,-20.492724802,463.699928876
Nibiru,49,2455323.396551724,54.046859421,-20.485233230,464.000352758
Nibiru,49,2457842.327586207,53.935743864,-20.494909300,463.919978313
Nibiru,49,2460361.258620690,53.862853069,-20.517092561,463.560262493
Nibiru,49,2462880.189655173,53.844573798,-20.541582717,463.142864252
Nibiru,49,2465399.120689655,53.874032074,-20.556665047,462.920402780
Nibiru,49,2467918.051724138,53.922983182,-20.554634191,463.058238970
Nibiru,49,2470436.982758621,53.955321990,-20.535457023,463.557519401
Nibiru,49,2472955.913793103,53.943656336,-20.506249266,464.266298432
Nibiru,49,2475474.844827586,53.879417047,-20.477650108,464.955170827
Nibiru,49,2477993.775862069,53.774213204,-20.459616584,465.406941492
Nibiru,49,2480512.706896552,53.654866771,-20.458057422,465.491545760
Nibiru,49,2483031.637931034,53.554316472,-20.472747281,465.213582900
Nibiru,49,2485550.568965517,53.499695180,-20.496881121,464.722291317
Nibiru,49,2488069.500000000,53.499962609,-20.519201755,464.262851367
Harrington,50,2415020.500000000,210.890450289,-29.847523872,80.231708881
Harrington,50,2417539.431034483,214.382643758,-28.833570092,82.643624556
Harrington,50,2420058.362068966,217.476382382,-27.914021246,84.685918644
Harrington,50,2422577.293103448,220.455824648,-27.092704349,86.309436374
Harrington,50,2425096.224137931,223.525289302,-26.308490517,87.665491352
Harrington,50,2427615.155172414,226.742731956,-25.476592061,89.019964363
Harrington,50,2430134.086206897,230.014886081,-24.530501186,90.633437683
Harrington,50,2432653.017241379,233.150110440,-23.454072573,92.646518786
Harrington,50,2435171.948275862,235.953987616,-22.288966003,95.010303227
Harrington,50,2437690.879310345,238.327040230,-21.112340872,97.495942903
Harrington,50,2440209.810344827,240.313968269,-19.997251821,99.797804216
Harrington,50,2442728.741379310,242.077207855,-18.980403310,101.685717124
Harrington,50,2445247.672413793,243.815791561,-18.053413445,103.117352450
Harrington,50,2447766.603448276,245.678655157,-17.175648931,104.247243500
Harrington,50,2450285.534482758,247.712011330,-16.297201596,105.343309280
Harrington,50,2452804.465517242,249.852659940,-15.380763265,106.667793943
Harrington,50,2455323.396551724,251.961970319,-14.415750053,108.370295944
Harrington,50,2457842.327586207,253.887645945,-13.420102170,110.424202529
Harrington,50,2460361.258620690,255.531912119,-12.429313845,112.628937272
Harrington,50,2462880.189655173,256.897509196,-11.478341933,114.690089864
Harrington,50,2465399.120689655,258.087133629,-10.585724621,116.356269010
Harrington,50,2467918.051724138,259.254686499,-9.747943165,117.542818450
Harrington,50,2470436.982758621,260.534713060,-8.944884674,118.368953510
Harrington,50,2472955.913793103,261.987569308,-8.151686358,119.091325994
Harrington,50,2475474.844827586,263.581929744,-7.350066062,119.985277621
Harrington,50,2477993.775862069,265.213929167,-6.534680766,121.233282562
Harrington,50,2480512.706896552,266.752234688,-5.713045569,122.854113588
Harrington,50,2483031.637931034,268.092986552,-4.899700866,124.692040397
Harrington,50,2485550.568965517,269.205049207,-4.108098825,126.472690446
Harrington,50,2488069.500000000,270.146354605,-3.344104444,127.920671812
NeptuneLeverrier,51,2415020.500000000,57.432932867,0.017861047,37.766660216
NeptuneLeverrier,51,2417539.431034483,68.470298495,0.019329243,38.031954782
NeptuneLeverrier,51,2420058.362068966,79.143389348,0.019995844,38.854286271
NeptuneLeverrier,51,2422577.293103448,88.851950447,0.019921716,39.945618877
NeptuneLeverrier,51,2425096.224137931,97.570435753,0.019359278,40.804058719
NeptuneLeverrier,51,2427615.155172414,105.764620330,0.018445034,41.038596203
NeptuneLeverrier,51,2430134.086206897,114.104941015,0.017237641,40.558692950
NeptuneLeverrier,51,2432653.017241379,123.194371390,0.015618166,39.609755614
NeptuneLeverrier,51,2435171.948275862,133.289802662,0.013434455,38.665209904
NeptuneLeverrier,51,2437690.879310345,144.076031455,0.010643899,38.163140021
